Lot Area,Gr Liv Area,SalePrice,1Fam,2fmCon,Duplex,Twnhs,TwnhsE
31770,1656,215000,1,0,0,0,0
11622,896,105000,1,0,0,0,0
14267,1329,172000,1,0,0,0,0
11160,2110,244000,1,0,0,0,0
13830,1629,189900,1,0,0,0,0
9978,1604,195500,1,0,0,0,0
4920,1338,213500,0,0,0,0,1
5005,1280,191500,0,0,0,0,1
5389,1616,236500,0,0,0,0,1
7500,1804,189000,1,0,0,0,0
10000,1655,175900,1,0,0,0,0
7980,1187,185000,1,0,0,0,0
8402,1465,180400,1,0,0,0,0
10176,1341,171500,1,0,0,0,0
6820,1502,212000,0,0,0,0,1
53504,3279,538000,1,0,0,0,0
12134,1752,164000,1,0,0,0,0
11394,1856,394432,1,0,0,0,0
19138,864,141000,1,0,0,0,0
13175,2073,210000,1,0,0,0,0
11751,1844,190000,1,0,0,0,0
10625,1173,170000,1,0,0,0,0
7500,1674,216000,1,0,0,0,0
11241,1004,149000,1,0,0,0,0
12537,1078,149900,1,0,0,0,0
8450,1056,142000,1,0,0,0,0
8400,882,126000,1,0,0,0,0
10500,864,115000,1,0,0,0,0
5858,1337,184000,0,0,0,0,1
1680,987,96000,0,0,0,1,0
1680,1092,105500,0,0,0,1,0
1680,1092,88000,0,0,0,1,0
4043,1069,127500,0,0,0,0,1
2280,1456,149900,0,0,0,1,0
2280,836,120000,0,0,0,1,0
2280,1456,146000,0,0,0,1,0
12858,2334,376162,1,0,0,0,0
11478,1704,306000,1,0,0,0,0
10159,1940,395192,1,0,0,0,0
12883,1544,290941,1,0,0,0,0
12182,1541,220000,1,0,0,0,0
11520,1698,275000,1,0,0,0,0
14122,1822,259000,1,0,0,0,0
10171,1535,214000,1,0,0,0,0
12919,2364,611657,1,0,0,0,0
6371,1358,224000,0,0,0,0,1
14300,2696,500000,1,0,0,0,0
13650,2250,320000,1,0,0,0,0
7658,1752,319900,0,0,0,0,1
7132,1370,205000,0,0,0,0,1
2628,1626,175500,0,0,0,1,0
18494,1324,199500,1,0,0,0,0
3203,1145,160000,0,0,0,0,1
3182,1269,192000,0,0,0,0,1
13300,1374,184500,1,0,0,0,0
7851,1960,216500,1,0,0,0,0
8577,1733,185088,1,0,0,0,0
7750,1430,180000,1,0,0,0,0
9505,2035,222500,1,0,0,0,0
14774,2599,333168,1,0,0,0,0
17433,2475,355000,1,0,0,0,0
10593,1720,260400,1,0,0,0,0
12256,2622,325000,1,0,0,0,0
11764,2270,290000,1,0,0,0,0
16770,1839,221000,1,0,0,0,0
14720,3238,410000,1,0,0,0,0
8987,1595,221500,1,0,0,0,0
9215,1218,204500,1,0,0,0,0
8640,1547,215200,1,0,0,0,0
9000,1566,262500,1,0,0,0,0
12552,1947,254900,1,0,0,0,0
10440,1468,271500,1,0,0,0,0
10142,2084,233000,1,0,0,0,0
11920,1659,181000,1,0,0,0,0
8880,2110,205000,1,0,0,0,0
8012,923,143000,0,0,0,0,1
11218,1845,189000,1,0,0,0,0
7892,918,99500,0,0,0,0,1
7175,752,125000,0,0,0,0,1
9453,1744,194500,1,0,0,0,0
9672,1097,152000,1,0,0,0,0
8400,1564,171000,1,0,0,0,0
9800,1012,67500,1,0,0,0,0
8930,1902,112000,0,0,1,0,0
11782,1155,148000,1,0,0,0,0
8450,894,138500,1,0,0,0,0
9819,900,122000,1,0,0,0,0
7500,1040,133000,1,0,0,0,0
6897,1040,127000,1,0,0,0,0
15410,1494,169000,1,0,0,0,0
10186,1923,190000,1,0,0,0,0
13143,2349,362500,1,0,0,0,0
11134,2225,285000,1,0,0,0,0
4835,1488,260000,0,0,0,0,1
3515,1680,190000,0,0,0,0,1
3215,1200,155000,0,0,0,0,1
3182,1200,151000,0,0,0,0,1
2544,1200,149500,0,0,0,1,0
2544,1236,152000,0,0,0,1,0
4403,1478,222000,1,0,0,0,0
2117,1573,177500,0,0,0,1,0
2980,1512,177000,0,0,0,0,1
2572,1416,155000,0,0,0,1,0
2403,1080,147110,0,0,0,0,1
12853,1418,267916,1,0,0,0,0
7379,1848,254000,1,0,0,0,0
4420,788,155000,0,0,0,0,1
3880,1226,206000,0,0,0,1,0
13517,1479,130500,1,0,0,0,0
8000,1492,230000,1,0,0,0,0
10456,1829,218500,1,0,0,0,0
10791,2495,243500,1,0,0,0,0
10603,1610,205000,1,0,0,0,0
18837,1891,212500,1,0,0,0,0
10421,1714,196500,1,0,0,0,0
9360,1381,197500,1,0,0,0,0
9600,1645,171000,1,0,0,0,0
9600,1232,142250,1,0,0,0,0
9790,1328,143000,1,0,0,0,0
9320,1225,128950,1,0,0,0,0
9900,1209,159000,1,0,0,0,0
9680,1510,178900,1,0,0,0,0
10600,1775,136300,1,0,0,0,0
14112,1152,180500,1,0,0,0,0
8800,1054,137500,1,0,0,0,0
13260,1728,84900,0,0,1,0,0
9717,1078,142125,1,0,0,0,0
9724,2461,197600,1,0,0,0,0
17360,1556,172500,1,0,0,0,0
7207,858,116500,1,0,0,0,0
5350,1306,76500,1,0,0,0,0
9920,1063,128000,1,0,0,0,0
9600,1520,153000,1,0,0,0,0
7800,1268,132000,1,0,0,0,0
11380,1128,178000,1,0,0,0,0
11600,2274,154300,0,0,1,0,0
19900,2207,180000,1,0,0,0,0
16492,1888,190000,1,0,0,0,0
8267,1604,135000,0,0,1,0,0
8197,1480,214000,1,0,0,0,0
8050,1143,136000,1,0,0,0,0
10552,1700,165500,1,0,0,0,0
8400,1314,145000,1,0,0,0,0
8760,1194,148000,1,0,0,0,0
12160,1188,142000,1,0,0,0,0
9300,1264,167500,1,0,0,0,0
10725,1206,108538,1,0,0,0,0
10032,1580,159500,1,0,0,0,0
8382,1337,108000,1,0,0,0,0
10950,1064,135000,1,0,0,0,0
10895,972,122500,1,0,0,0,0
13587,988,119000,0,1,0,0,0
7922,1057,109000,1,0,0,0,0
7898,985,105000,1,0,0,0,0
7200,827,107500,1,0,0,0,0
10200,1086,144900,1,0,0,0,0
5868,936,129000,1,0,0,0,0
17503,1458,97500,1,0,0,0,0
6979,1056,144000,0,0,1,0,0
9830,1287,162000,1,0,0,0,0
11275,2978,242000,1,0,0,0,0
8064,1224,132000,1,0,0,0,0
7500,1246,154000,1,0,0,0,0
8520,1385,166000,1,0,0,0,0
7200,900,134800,1,0,0,0,0
10000,1116,160000,1,0,0,0,0
7635,1175,148000,1,0,0,0,0
9760,1395,192000,1,0,0,0,0
7700,1839,155000,1,0,0,0,0
4800,1844,80400,1,0,0,0,0
8800,1140,96500,1,0,0,0,0
4485,936,109500,1,0,0,0,0
8960,1028,115000,1,0,0,0,0
5805,1347,143000,1,0,0,0,0
5790,1605,107400,1,0,0,0,0
4608,747,80000,1,0,0,0,0
7200,804,119000,1,0,0,0,0
5500,1316,130000,1,0,0,0,0
6900,1251,119000,1,0,0,0,0
11851,1633,129000,1,0,0,0,0
8239,1245,100000,1,0,0,0,0
9656,832,12789,1,0,0,0,0
8520,720,105900,1,0,0,0,0
9600,1566,150000,1,0,0,0,0
10800,1652,139000,1,0,0,0,0
9000,2268,240000,1,0,0,0,0
9045,2256,76500,0,1,0,0,0
7407,1236,149700,1,0,0,0,0
7740,1363,125500,1,0,0,0,0
11340,2290,122500,0,1,0,0,0
10560,1470,140750,1,0,0,0,0
5830,1612,128500,1,0,0,0,0
7793,2068,209500,1,0,0,0,0
5000,765,87000,1,0,0,0,0
6000,1132,134000,1,0,0,0,0
6000,1196,128000,1,0,0,0,0
6360,1453,132000,1,0,0,0,0
6000,1416,139900,1,0,0,0,0
6240,1040,123900,1,0,0,0,0
6240,1536,138400,1,0,0,0,0
6120,1068,109500,1,0,0,0,0
10300,1710,140000,1,0,0,0,0
8094,1962,149500,1,0,0,0,0
12900,1560,159900,1,0,0,0,0
3068,1324,122000,1,0,0,0,0
8472,816,110000,0,0,1,0,0
5600,1092,55000,0,1,0,0,0
7630,1812,140000,0,1,0,0,0
24090,2403,244400,1,0,0,0,0
15263,1675,173000,1,0,0,0,0
10632,1224,107500,1,0,0,0,0
9900,1392,100000,0,1,0,0,0
6001,919,95000,1,0,0,0,0
6449,1884,93369,1,0,0,0,0
6048,1680,114900,0,1,0,0,0
6342,1020,94000,1,0,0,0,0
10773,1832,136000,0,0,1,0,0
10778,1768,136500,0,0,1,0,0
11625,1039,131500,0,1,0,0,0
11341,1392,121500,1,0,0,0,0
8521,912,125000,1,0,0,0,0
8246,1060,154000,1,0,0,0,0
7800,892,137900,1,0,0,0,0
9364,1352,158000,1,0,0,0,0
7832,864,137250,1,0,0,0,0
7424,1373,160250,0,0,1,0,0
11227,1440,163000,1,0,0,0,0
11616,1386,158900,1,0,0,0,0
14000,2260,328000,1,0,0,0,0
20062,1483,270000,1,0,0,0,0
9259,756,85000,1,0,0,0,0
9600,1067,128000,1,0,0,0,0
23595,1524,260000,1,0,0,0,0
17082,1981,230000,1,0,0,0,0
18600,1610,124000,1,0,0,0,0
10625,835,83000,1,0,0,0,0
11479,1074,144500,1,0,0,0,0
9571,1144,129000,1,0,0,0,0
9350,1531,127000,1,0,0,0,0
9525,1172,128000,1,0,0,0,0
10420,1212,186000,1,0,0,0,0
17485,1508,308030,1,0,0,0,0
11200,1298,114000,1,0,0,0,0
11100,930,84900,1,0,0,0,0
9206,1732,178000,1,0,0,0,0
11980,1433,270000,1,0,0,0,0
12361,1802,218000,1,0,0,0,0
9938,1949,236000,1,0,0,0,0
9069,996,147000,1,0,0,0,0
10475,1694,245350,1,0,0,0,0
6762,1208,206000,1,0,0,0,0
10402,1226,198900,1,0,0,0,0
7360,1222,187000,1,0,0,0,0
12376,3222,320000,1,0,0,0,0
14235,1445,138500,1,0,0,0,0
8816,1052,155000,1,0,0,0,0
11105,965,159000,1,0,0,0,0
9337,1692,191000,1,0,0,0,0
8750,1682,200500,1,0,0,0,0
15240,1026,150000,1,0,0,0,0
10900,1392,161750,1,0,0,0,0
10650,894,128200,1,0,0,0,0
7480,876,127000,1,0,0,0,0
10389,1978,318000,1,0,0,0,0
11423,1601,272000,1,0,0,0,0
9548,1829,237000,1,0,0,0,0
9375,2098,240000,1,0,0,0,0
12137,1661,224900,1,0,0,0,0
4435,848,143750,0,0,0,0,1
4426,848,143000,0,0,0,0,1
10635,1668,232000,1,0,0,0,0
8400,1484,213000,1,0,0,0,0
8773,1414,185500,1,0,0,0,0
8777,640,84900,1,0,0,0,0
8842,992,155891,1,0,0,0,0
9825,1664,100000,0,0,1,0,0
10044,1196,144000,1,0,0,0,0
11792,1120,64000,1,0,0,0,0
6305,1096,125200,1,0,0,0,0
7819,1117,107000,1,0,0,0,0
6410,960,90000,1,0,0,0,0
8546,1121,140000,1,0,0,0,0
8741,1487,113000,1,0,0,0,0
12180,924,80000,0,1,0,0,0
8562,1526,144500,1,0,0,0,0
4853,1296,104000,1,0,0,0,0
6858,1647,128000,1,0,0,0,0
8212,864,58500,1,0,0,0,0
5000,1691,127000,1,0,0,0,0
7890,856,126000,1,0,0,0,0
7200,2650,160000,0,0,1,0,0
9839,1666,100000,1,0,0,0,0
9638,2447,169000,1,0,0,0,0
10452,2133,257500,1,0,0,0,0
15600,2177,215000,0,0,1,0,0
9042,2340,266500,1,0,0,0,0
17500,1902,335000,1,0,0,0,0
19645,1652,203135,1,0,0,0,0
3907,1034,185000,0,0,0,0,1
3907,1191,162500,0,0,0,0,1
15602,1801,289000,1,0,0,0,0
5436,1154,125500,1,0,0,0,0
8154,540,82000,1,0,0,0,0
9140,1107,110000,1,0,0,0,0
7500,1128,68400,1,0,0,0,0
8712,1178,102776,1,0,0,0,0
8712,1044,55993,1,0,0,0,0
8712,952,50138,1,0,0,0,0
3811,1646,246000,0,0,0,0,1
11050,1916,254900,1,0,0,0,0
9620,1285,190000,1,0,0,0,0
9196,1560,201000,1,0,0,0,0
12328,1034,169900,1,0,0,0,0
12760,2048,170000,0,0,1,0,0
57200,1687,160000,1,0,0,0,0
11896,1346,220000,1,0,0,0,0
9803,1214,179781,1,0,0,0,0
9802,1444,174000,1,0,0,0,0
12003,1968,269500,1,0,0,0,0
11316,1894,214900,1,0,0,0,0
14191,1908,202900,1,0,0,0,0
13214,2018,378500,1,0,0,0,0
15300,1264,169000,1,0,0,0,0
10114,1430,173500,1,0,0,0,0
9400,1824,139000,0,0,1,0,0
11875,1344,166500,1,0,0,0,0
1974,1092,83500,0,0,0,0,1
2394,945,119500,0,0,0,1,0
2592,1112,85000,0,0,0,0,1
1476,1092,76000,0,0,0,1,0
1491,630,75500,0,0,0,0,1
1900,1092,88250,0,0,0,0,1
1890,1092,85500,0,0,0,0,1
6953,874,130000,1,0,0,0,0
26142,1188,157900,1,0,0,0,0
12887,833,149900,1,0,0,0,0
7700,2432,159000,0,0,1,0,0
10475,1274,136000,1,0,0,0,0
10544,1479,161000,1,0,0,0,0
9892,1803,285000,1,0,0,0,0
12961,1797,231000,1,0,0,0,0
13008,882,124500,1,0,0,0,0
10200,1434,157000,1,0,0,0,0
13860,2704,345000,1,0,0,0,0
10179,1608,189500,1,0,0,0,0
11792,2283,270000,1,0,0,0,0
8400,1628,189000,1,0,0,0,0
14892,1746,377500,1,0,0,0,0
8530,1474,168500,1,0,0,0,0
7296,2522,375000,0,0,0,0,1
5664,1659,278000,0,0,0,0,1
7380,1478,240000,1,0,0,0,0
8013,1734,239500,0,0,0,0,1
8923,1382,177500,1,0,0,0,0
10141,1718,185000,1,0,0,0,0
7500,1636,191000,1,0,0,0,0
7837,1571,178000,1,0,0,0,0
9765,1470,185000,1,0,0,0,0
8803,1516,181316,1,0,0,0,0
7250,1190,166000,1,0,0,0,0
9636,1593,178000,1,0,0,0,0
8125,1481,174000,1,0,0,0,0
9248,1167,173000,1,0,0,0,0
10762,1983,225000,1,0,0,0,0
11851,1442,180500,1,0,0,0,0
5814,1360,187500,0,0,0,0,1
17423,2234,501837,1,0,0,0,0
11844,2046,372500,1,0,0,0,0
16158,1530,260000,1,0,0,0,0
11900,1934,185000,1,0,0,0,0
13005,2353,260000,1,0,0,0,0
17043,1586,181000,1,0,0,0,0
11900,1411,82500,1,0,0,0,0
16635,1602,215000,1,0,0,0,0
13250,2050,154000,1,0,0,0,0
10928,1671,200000,1,0,0,0,0
12388,2673,249000,1,0,0,0,0
14115,1472,187500,1,0,0,0,0
11088,1707,184000,1,0,0,0,0
9600,2524,278000,1,0,0,0,0
11880,1601,157000,1,0,0,0,0
10400,1370,152000,1,0,0,0,0
10304,1868,197500,1,0,0,0,0
7000,1884,240900,1,0,0,0,0
8004,1935,263435,1,0,0,0,0
7500,1874,220000,1,0,0,0,0
8470,1811,235000,1,0,0,0,0
9373,1621,213000,1,0,0,0,0
10140,1116,167900,1,0,0,0,0
11050,1193,158000,1,0,0,0,0
10140,1350,165000,1,0,0,0,0
10448,2119,158000,1,0,0,0,0
9000,1792,136000,0,0,1,0,0
8750,1002,148500,1,0,0,0,0
7930,1026,156000,1,0,0,0,0
7830,1180,128000,1,0,0,0,0
8510,1050,143000,1,0,0,0,0
7038,864,76500,1,0,0,0,0
6960,864,120500,1,0,0,0,0
8120,864,124500,1,0,0,0,0
10500,864,97000,1,0,0,0,0
9000,864,130000,1,0,0,0,0
1680,987,111000,0,0,0,1,0
2368,1365,125000,0,0,0,0,1
1680,1302,112000,0,0,0,1,0
1680,987,97000,0,0,0,1,0
1680,987,118000,0,0,0,1,0
1680,1302,119500,0,0,0,1,0
4928,958,143750,0,0,0,0,1
2308,1548,146000,0,0,0,0,1
2280,1456,148500,0,0,0,1,0
2280,1055,123000,0,0,0,1,0
2308,1322,147000,0,0,0,0,1
2349,1456,137900,0,0,0,1,0
2364,1548,147000,0,0,0,0,1
2289,1441,148500,0,0,0,1,0
2364,1456,138000,0,0,0,0,1
2104,836,128500,0,0,0,0,1
7150,892,100000,1,0,0,0,0
10710,1120,148800,1,0,0,0,0
12456,1718,337500,1,0,0,0,0
14257,2772,462000,1,0,0,0,0
13518,3140,485000,1,0,0,0,0
15431,2402,555000,1,0,0,0,0
13173,1652,325000,1,0,0,0,0
14230,1600,256300,1,0,0,0,0
12704,2042,253293,1,0,0,0,0
12350,2690,398800,1,0,0,0,0
11308,2184,335000,1,0,0,0,0
12350,2020,404000,1,0,0,0,0
12220,2020,402861,1,0,0,0,0
13478,2296,451950,1,0,0,0,0
13693,2674,610000,1,0,0,0,0
13891,2822,582933,1,0,0,0,0
11578,1736,360000,1,0,0,0,0
16870,1782,296000,1,0,0,0,0
23303,2520,409900,1,0,0,0,0
11146,1717,255500,1,0,0,0,0
10367,1743,335000,1,0,0,0,0
9591,1713,274900,1,0,0,0,0
10872,1531,300000,1,0,0,0,0
13514,1808,324000,1,0,0,0,0
8834,2224,350000,1,0,0,0,0
11362,1836,280000,1,0,0,0,0
10655,1629,284000,1,0,0,0,0
12878,1760,269500,1,0,0,0,0
9541,1502,233170,1,0,0,0,0
13472,2392,386250,1,0,0,0,0
15274,2452,445000,1,0,0,0,0
13262,2400,290000,1,0,0,0,0
9658,1606,255900,1,0,0,0,0
6904,1358,213000,0,0,0,0,1
5381,1306,196000,0,0,0,1,0
5122,1306,184500,0,0,0,1,0
10307,1358,212500,0,0,0,0,1
5001,1314,230000,0,0,0,1,0
14836,2492,552000,1,0,0,0,0
15262,2200,382500,1,0,0,0,0
7390,1884,320000,0,0,0,0,1
6472,1456,248500,0,0,0,0,1
16770,1712,286500,1,0,0,0,0
6240,1324,254000,0,0,0,0,1
3480,1405,173000,0,0,0,0,1
2268,1626,173000,0,0,0,1,0
10928,1456,184000,1,0,0,0,0
8918,1490,167800,1,0,0,0,0
12589,1484,174000,1,0,0,0,0
11911,1560,174000,1,0,0,0,0
3684,1555,174000,0,0,0,0,1
3635,1569,175900,0,0,0,0,1
3182,1555,192500,0,0,0,0,1
3182,1504,181000,0,0,0,0,1
3182,1220,180000,0,0,0,0,1
3182,1145,160200,0,0,0,0,1
7795,1432,188500,1,0,0,0,0
8068,2267,200000,1,0,0,0,0
9434,1374,170000,1,0,0,0,0
7984,1630,189500,1,0,0,0,0
7750,1419,184100,1,0,0,0,0
10125,1594,195500,1,0,0,0,0
8965,1489,192000,1,0,0,0,0
8174,1342,178000,1,0,0,0,0
5063,1314,207500,0,0,0,1,0
8795,2256,236000,1,0,0,0,0
12891,2004,257500,1,0,0,0,0
12224,2054,244000,1,0,0,0,0
9734,1374,167000,1,0,0,0,0
8123,1800,179000,1,0,0,0,0
8433,1514,190000,1,0,0,0,0
7750,1430,156000,1,0,0,0,0
15896,2312,245000,1,0,0,0,0
24682,1675,181000,1,0,0,0,0
8755,2060,214000,1,0,0,0,0
7848,1430,168000,1,0,0,0,0
9430,2365,337000,1,0,0,0,0
15138,2794,403000,1,0,0,0,0
12720,2687,327000,1,0,0,0,0
16545,2450,340000,1,0,0,0,0
12203,2612,336000,1,0,0,0,0
10208,2344,265000,1,0,0,0,0
10750,2063,315000,1,0,0,0,0
9900,2646,260000,1,0,0,0,0
9085,2061,260000,1,0,0,0,0
11692,2232,263550,1,0,0,0,0
46589,2448,402000,1,0,0,0,0
29959,1850,248000,1,0,0,0,0
9612,1468,244600,1,0,0,0,0
11194,1696,275000,1,0,0,0,0
10206,1658,257500,1,0,0,0,0
9262,1578,287090,1,0,0,0,0
10130,1702,275500,1,0,0,0,0
9139,1432,245000,1,0,0,0,0
9675,1971,253000,1,0,0,0,0
11128,2490,468000,1,0,0,0,0
8640,1852,252678,1,0,0,0,0
9000,1590,210000,1,0,0,0,0
7862,1218,208300,1,0,0,0,0
7993,1436,225000,1,0,0,0,0
8640,1314,229456,1,0,0,0,0
8640,1402,229800,1,0,0,0,0
12606,1530,250000,1,0,0,0,0
9187,1766,370878,1,0,0,0,0
7500,1448,238500,1,0,0,0,0
11003,2007,310000,1,0,0,0,0
10603,1795,270000,1,0,0,0,0
10574,1953,252000,1,0,0,0,0
8125,1550,241000,1,0,0,0,0
8125,1836,264500,1,0,0,0,0
10625,1662,291000,1,0,0,0,0
9375,2094,263000,1,0,0,0,0
7500,1221,185000,1,0,0,0,0
8736,1553,234500,1,0,0,0,0
8127,1653,209000,1,0,0,0,0
9605,1218,159000,1,0,0,0,0
7500,1141,152000,1,0,0,0,0
7500,1158,143500,1,0,0,0,0
10628,1812,193000,1,0,0,0,0
10141,1512,203000,1,0,0,0,0
10083,1200,184900,1,0,0,0,0
13072,1114,159000,1,0,0,0,0
13072,1114,142000,1,0,0,0,0
12450,1114,153000,1,0,0,0,0
7328,1450,224243,1,0,0,0,0
11492,2122,220000,1,0,0,0,0
10994,1844,257000,1,0,0,0,0
8529,1434,189000,1,0,0,0,0
7703,1730,171500,1,0,0,0,0
10762,1217,120000,0,0,0,0,1
7175,1332,145000,0,0,0,0,1
9109,1540,184000,1,0,0,0,0
10274,1400,162000,1,0,0,0,0
8250,1882,160000,0,0,1,0,0
8400,841,82000,1,0,0,0,0
9000,784,76000,1,0,0,0,0
9750,980,110000,1,0,0,0,0
7064,980,135000,1,0,0,0,0
8499,864,141000,1,0,0,0,0
9079,864,122000,1,0,0,0,0
9316,1020,124100,1,0,0,0,0
7791,912,129000,1,0,0,0,0
10000,1144,131400,1,0,0,0,0
8281,864,62383,1,0,0,0,0
7150,912,123000,1,0,0,0,0
15676,2014,275000,1,0,0,0,0
11949,1755,235000,1,0,0,0,0
2880,3005,280750,0,0,0,1,0
3951,1224,164500,0,0,0,0,1
3000,1224,173733,0,0,0,0,1
3830,1726,222000,0,0,0,0,1
4217,1256,195000,0,0,0,0,1
3230,1471,172500,0,0,0,0,1
2998,1512,180000,0,0,0,0,1
3768,1452,156000,0,0,0,0,1
2645,1739,172500,0,0,0,1,0
14694,1694,318750,1,0,0,0,0
3782,1226,211500,0,0,0,0,1
15417,1740,241600,1,0,0,0,0
9600,2499,180500,1,0,0,0,0
9991,1620,150000,1,0,0,0,0
11700,1556,154000,1,0,0,0,0
11717,1442,185000,1,0,0,0,0
9156,1489,185750,1,0,0,0,0
10382,2090,200000,1,0,0,0,0
