Gr Liv Area,Garage Area,SalePrice,1Fam,2fmCon,Duplex,Twnhs,TwnhsE
1656,528.0,215000,1,0,0,0,0
896,730.0,105000,1,0,0,0,0
1329,312.0,172000,1,0,0,0,0
2110,522.0,244000,1,0,0,0,0
1629,482.0,189900,1,0,0,0,0
1604,470.0,195500,1,0,0,0,0
1338,582.0,213500,0,0,0,0,1
1280,506.0,191500,0,0,0,0,1
1616,608.0,236500,0,0,0,0,1
1804,442.0,189000,1,0,0,0,0
1655,440.0,175900,1,0,0,0,0
1187,420.0,185000,1,0,0,0,0
1465,393.0,180400,1,0,0,0,0
1341,506.0,171500,1,0,0,0,0
1502,528.0,212000,0,0,0,0,1
3279,841.0,538000,1,0,0,0,0
1752,492.0,164000,1,0,0,0,0
1856,834.0,394432,1,0,0,0,0
864,400.0,141000,1,0,0,0,0
2073,500.0,210000,1,0,0,0,0
1844,546.0,190000,1,0,0,0,0
1173,528.0,170000,1,0,0,0,0
1674,663.0,216000,1,0,0,0,0
1004,480.0,149000,1,0,0,0,0
1078,500.0,149900,1,0,0,0,0
1056,304.0,142000,1,0,0,0,0
882,525.0,126000,1,0,0,0,0
864,0.0,115000,1,0,0,0,0
1337,511.0,184000,0,0,0,0,1
987,264.0,96000,0,0,0,1,0
1092,320.0,105500,0,0,0,1,0
1092,264.0,88000,0,0,0,1,0
1069,440.0,127500,0,0,0,0,1
1456,440.0,149900,0,0,0,1,0
836,308.0,120000,0,0,0,1,0
1456,440.0,146000,0,0,0,1,0
2334,751.0,376162,1,0,0,0,0
1704,772.0,306000,1,0,0,0,0
1940,606.0,395192,1,0,0,0,0
1544,868.0,290941,1,0,0,0,0
1541,532.0,220000,1,0,0,0,0
1698,730.0,275000,1,0,0,0,0
1822,678.0,259000,1,0,0,0,0
1535,532.0,214000,1,0,0,0,0
2364,820.0,611657,1,0,0,0,0
1358,484.0,224000,0,0,0,0,1
2696,958.0,500000,1,0,0,0,0
2250,756.0,320000,1,0,0,0,0
1752,576.0,319900,0,0,0,0,1
1370,484.0,205000,0,0,0,0,1
1626,474.0,175500,0,0,0,1,0
1324,430.0,199500,1,0,0,0,0
1145,437.0,160000,0,0,0,0,1
1269,430.0,192000,0,0,0,0,1
1374,400.0,184500,1,0,0,0,0
1960,440.0,216500,1,0,0,0,0
1733,433.0,185088,1,0,0,0,0
1430,400.0,180000,1,0,0,0,0
2035,434.0,222500,1,0,0,0,0
2599,779.0,333168,1,0,0,0,0
2475,962.0,355000,1,0,0,0,0
1720,527.0,260400,1,0,0,0,0
2622,712.0,325000,1,0,0,0,0
2270,671.0,290000,1,0,0,0,0
1839,486.0,221000,1,0,0,0,0
3238,666.0,410000,1,0,0,0,0
1595,880.0,221500,1,0,0,0,0
1218,676.0,204500,1,0,0,0,0
1547,614.0,215200,1,0,0,0,0
1566,750.0,262500,1,0,0,0,0
1947,678.0,254900,1,0,0,0,0
1468,528.0,271500,1,0,0,0,0
2084,618.0,233000,1,0,0,0,0
1659,484.0,181000,1,0,0,0,0
2110,463.0,205000,1,0,0,0,0
923,264.0,143000,0,0,0,0,1
1845,462.0,189000,1,0,0,0,0
918,264.0,99500,0,0,0,0,1
752,264.0,125000,0,0,0,0,1
1744,457.0,194500,1,0,0,0,0
1097,480.0,152000,1,0,0,0,0
1564,476.0,171000,1,0,0,0,0
1012,429.0,67500,1,0,0,0,0
1902,539.0,112000,0,0,1,0,0
1155,576.0,148000,1,0,0,0,0
894,336.0,138500,1,0,0,0,0
900,280.0,122000,1,0,0,0,0
1040,308.0,133000,1,0,0,0,0
1040,260.0,127000,1,0,0,0,0
1494,461.0,169000,1,0,0,0,0
1923,564.0,190000,1,0,0,0,0
2349,762.0,362500,1,0,0,0,0
2225,713.0,285000,1,0,0,0,0
1488,506.0,260000,0,0,0,0,1
1680,588.0,190000,0,0,0,0,1
1200,480.0,155000,0,0,0,0,1
1200,480.0,151000,0,0,0,0,1
1200,480.0,149500,0,0,0,1,0
1236,480.0,152000,0,0,0,1,0
1478,484.0,222000,1,0,0,0,0
1573,440.0,177500,0,0,0,1,0
1512,440.0,177000,0,0,0,0,1
1416,484.0,155000,0,0,0,1,0
1080,496.0,147110,0,0,0,0,1
1418,852.0,267916,1,0,0,0,0
1848,592.0,254000,1,0,0,0,0
788,484.0,155000,0,0,0,0,1
1226,484.0,206000,0,0,0,1,0
1479,475.0,130500,1,0,0,0,0
1492,596.0,230000,1,0,0,0,0
1829,535.0,218500,1,0,0,0,0
2495,660.0,243500,1,0,0,0,0
1610,480.0,205000,1,0,0,0,0
1891,678.0,212500,1,0,0,0,0
1714,496.0,196500,1,0,0,0,0
1381,676.0,197500,1,0,0,0,0
1645,441.0,171000,1,0,0,0,0
1232,490.0,142250,1,0,0,0,0
1328,528.0,143000,1,0,0,0,0
1225,0.0,128950,1,0,0,0,0
1209,504.0,159000,1,0,0,0,0
1510,517.0,178900,1,0,0,0,0
1775,480.0,136300,1,0,0,0,0
1152,484.0,180500,1,0,0,0,0
1054,480.0,137500,1,0,0,0,0
1728,0.0,84900,0,0,1,0,0
1078,240.0,142125,1,0,0,0,0
2461,400.0,197600,1,0,0,0,0
1556,470.0,172500,1,0,0,0,0
858,0.0,116500,1,0,0,0,0
1306,0.0,76500,1,0,0,0,0
1063,280.0,128000,1,0,0,0,0
1520,364.0,153000,1,0,0,0,0
1268,244.0,132000,1,0,0,0,0
1128,315.0,178000,1,0,0,0,0
2274,480.0,154300,0,0,1,0,0
2207,576.0,180000,1,0,0,0,0
1888,578.0,190000,1,0,0,0,0
1604,576.0,135000,0,0,1,0,0
1480,620.0,214000,1,0,0,0,0
1143,308.0,136000,1,0,0,0,0
1700,447.0,165500,1,0,0,0,0
1314,294.0,145000,1,0,0,0,0
1194,312.0,148000,1,0,0,0,0
1188,531.0,142000,1,0,0,0,0
1264,461.0,167500,1,0,0,0,0
1206,312.0,108538,1,0,0,0,0
1580,440.0,159500,1,0,0,0,0
1337,263.0,108000,1,0,0,0,0
1064,318.0,135000,1,0,0,0,0
972,305.0,122500,1,0,0,0,0
988,264.0,119000,0,1,0,0,0
1057,246.0,109000,1,0,0,0,0
985,676.0,105000,1,0,0,0,0
827,392.0,107500,1,0,0,0,0
1086,490.0,144900,1,0,0,0,0
936,308.0,129000,1,0,0,0,0
1458,330.0,97500,1,0,0,0,0
1056,576.0,144000,0,0,1,0,0
1287,576.0,162000,1,0,0,0,0
2978,564.0,242000,1,0,0,0,0
1224,280.0,132000,1,0,0,0,0
1246,305.0,154000,1,0,0,0,0
1385,720.0,166000,1,0,0,0,0
900,576.0,134800,1,0,0,0,0
1116,440.0,160000,1,0,0,0,0
1175,484.0,148000,1,0,0,0,0
1395,440.0,192000,1,0,0,0,0
1839,442.0,155000,1,0,0,0,0
1844,240.0,80400,1,0,0,0,0
1140,0.0,96500,1,0,0,0,0
936,0.0,109500,1,0,0,0,0
1028,360.0,115000,1,0,0,0,0
1347,551.0,143000,1,0,0,0,0
1605,379.0,107400,1,0,0,0,0
747,220.0,80000,1,0,0,0,0
804,240.0,119000,1,0,0,0,0
1316,484.0,130000,1,0,0,0,0
1251,240.0,119000,1,0,0,0,0
1633,240.0,129000,1,0,0,0,0
1245,315.0,100000,1,0,0,0,0
832,780.0,12789,1,0,0,0,0
720,484.0,105900,1,0,0,0,0
1566,288.0,150000,1,0,0,0,0
1652,416.0,139000,1,0,0,0,0
2268,624.0,240000,1,0,0,0,0
2256,0.0,76500,0,1,0,0,0
1236,923.0,149700,1,0,0,0,0
1363,528.0,125500,1,0,0,0,0
2290,560.0,122500,0,1,0,0,0
1470,624.0,140750,1,0,0,0,0
1612,363.0,128500,1,0,0,0,0
2068,315.0,209500,1,0,0,0,0
765,200.0,87000,1,0,0,0,0
1132,240.0,134000,1,0,0,0,0
1196,576.0,128000,1,0,0,0,0
1453,240.0,132000,1,0,0,0,0
1416,312.0,139900,1,0,0,0,0
1040,624.0,123900,1,0,0,0,0
1536,480.0,138400,1,0,0,0,0
1068,288.0,109500,1,0,0,0,0
1710,480.0,140000,1,0,0,0,0
1962,572.0,149500,1,0,0,0,0
1560,0.0,159900,1,0,0,0,0
1324,180.0,122000,1,0,0,0,0
816,516.0,110000,0,0,1,0,0
1092,0.0,55000,0,1,0,0,0
1812,672.0,140000,0,1,0,0,0
2403,349.0,244400,1,0,0,0,0
1675,365.0,173000,1,0,0,0,0
1224,180.0,107500,1,0,0,0,0
1392,0.0,100000,0,1,0,0,0
919,231.0,95000,1,0,0,0,0
1884,0.0,93369,1,0,0,0,0
1680,450.0,114900,0,1,0,0,0
1020,0.0,94000,1,0,0,0,0
1832,0.0,136000,0,0,1,0,0
1768,0.0,136500,0,0,1,0,0
1039,504.0,131500,0,1,0,0,0
1392,528.0,121500,1,0,0,0,0
912,336.0,125000,1,0,0,0,0
1060,270.0,154000,1,0,0,0,0
892,416.0,137900,1,0,0,0,0
1352,299.0,158000,1,0,0,0,0
864,280.0,137250,1,0,0,0,0
1373,591.0,160250,0,0,1,0,0
1440,480.0,163000,1,0,0,0,0
1386,440.0,158900,1,0,0,0,0
2260,533.0,328000,1,0,0,0,0
1483,690.0,270000,1,0,0,0,0
756,440.0,85000,1,0,0,0,0
1067,436.0,128000,1,0,0,0,0
1524,586.0,260000,1,0,0,0,0
1981,522.0,230000,1,0,0,0,0
1610,480.0,124000,1,0,0,0,0
835,366.0,83000,1,0,0,0,0
1074,467.0,144500,1,0,0,0,0
1144,596.0,129000,1,0,0,0,0
1531,209.0,127000,1,0,0,0,0
1172,366.0,128000,1,0,0,0,0
1212,460.0,186000,1,0,0,0,0
1508,572.0,308030,1,0,0,0,0
1298,504.0,114000,1,0,0,0,0
930,308.0,84900,1,0,0,0,0
1732,476.0,178000,1,0,0,0,0
1433,528.0,270000,1,0,0,0,0
1802,1017.0,218000,1,0,0,0,0
1949,574.0,236000,1,0,0,0,0
996,564.0,147000,1,0,0,0,0
1694,776.0,245350,1,0,0,0,0
1208,632.0,206000,1,0,0,0,0
1226,740.0,198900,1,0,0,0,0
1222,615.0,187000,1,0,0,0,0
3222,594.0,320000,1,0,0,0,0
1445,484.0,138500,1,0,0,0,0
1052,440.0,155000,1,0,0,0,0
965,580.0,159000,1,0,0,0,0
1692,513.0,191000,1,0,0,0,0
1682,523.0,200500,1,0,0,0,0
1026,308.0,150000,1,0,0,0,0
1392,299.0,161750,1,0,0,0,0
894,308.0,128200,1,0,0,0,0
876,484.0,127000,1,0,0,0,0
1978,850.0,318000,1,0,0,0,0
1601,670.0,272000,1,0,0,0,0
1829,613.0,237000,1,0,0,0,0
2098,621.0,240000,1,0,0,0,0
1661,598.0,224900,1,0,0,0,0
848,420.0,143750,0,0,0,0,1
848,420.0,143000,0,0,0,0,1
1668,502.0,232000,1,0,0,0,0
1484,606.0,213000,1,0,0,0,0
1414,494.0,185500,1,0,0,0,0
640,240.0,84900,1,0,0,0,0
992,319.0,155891,1,0,0,0,0
1664,0.0,100000,0,0,1,0,0
1196,336.0,144000,1,0,0,0,0
1120,480.0,64000,1,0,0,0,0
1096,352.0,125200,1,0,0,0,0
1117,672.0,107000,1,0,0,0,0
960,0.0,90000,1,0,0,0,0
1121,440.0,140000,1,0,0,0,0
1487,220.0,113000,1,0,0,0,0
924,280.0,80000,0,1,0,0,0
1526,364.0,144500,1,0,0,0,0
1296,260.0,104000,1,0,0,0,0
1647,216.0,128000,1,0,0,0,0
864,200.0,58500,1,0,0,0,0
1691,308.0,127000,1,0,0,0,0
856,399.0,126000,1,0,0,0,0
2650,0.0,160000,0,0,1,0,0
1666,0.0,100000,1,0,0,0,0
2447,336.0,169000,1,0,0,0,0
2133,312.0,257500,1,0,0,0,0
2177,484.0,215000,0,0,1,0,0
2340,252.0,266500,1,0,0,0,0
1902,567.0,335000,1,0,0,0,0
1652,473.0,203135,1,0,0,0,0
1034,598.0,185000,0,0,0,0,1
1191,531.0,162500,0,0,0,0,1
1801,484.0,289000,1,0,0,0,0
1154,240.0,125500,1,0,0,0,0
540,200.0,82000,1,0,0,0,0
1107,625.0,110000,1,0,0,0,0
1128,528.0,68400,1,0,0,0,0
1178,384.0,102776,1,0,0,0,0
1044,504.0,55993,1,0,0,0,0
952,330.0,50138,1,0,0,0,0
1646,525.0,246000,0,0,0,0,1
1916,741.0,254900,1,0,0,0,0
1285,473.0,190000,1,0,0,0,0
1560,573.0,201000,1,0,0,0,0
1034,888.0,169900,1,0,0,0,0
2048,776.0,170000,0,0,1,0,0
1687,572.0,160000,1,0,0,0,0
1346,660.0,220000,1,0,0,0,0
1214,520.0,179781,1,0,0,0,0
1444,400.0,174000,1,0,0,0,0
1968,680.0,269500,1,0,0,0,0
1894,510.0,214900,1,0,0,0,0
1908,431.0,202900,1,0,0,0,0
2018,746.0,378500,1,0,0,0,0
1264,528.0,169000,1,0,0,0,0
1430,624.0,173500,1,0,0,0,0
1824,0.0,139000,0,0,1,0,0
1344,686.0,166500,1,0,0,0,0
1092,286.0,83500,0,0,0,0,1
945,253.0,119500,0,0,0,1,0
1112,336.0,85000,0,0,0,0,1
1092,0.0,76000,0,0,0,1,0
630,0.0,75500,0,0,0,0,1
1092,0.0,88250,0,0,0,0,1
1092,286.0,85500,0,0,0,0,1
874,352.0,130000,1,0,0,0,0
1188,312.0,157900,1,0,0,0,0
833,495.0,149900,1,0,0,0,0
2432,616.0,159000,0,0,1,0,0
1274,576.0,136000,1,0,0,0,0
1479,275.0,161000,1,0,0,0,0
1803,482.0,285000,1,0,0,0,0
1797,616.0,231000,1,0,0,0,0
882,502.0,124500,1,0,0,0,0
1434,528.0,157000,1,0,0,0,0
2704,538.0,345000,1,0,0,0,0
1608,470.0,189500,1,0,0,0,0
2283,632.0,270000,1,0,0,0,0
1628,390.0,189000,1,0,0,0,0
1746,758.0,377500,1,0,0,0,0
1474,400.0,168500,1,0,0,0,0
2522,564.0,375000,0,0,0,0,1
1659,499.0,278000,0,0,0,0,1
1478,495.0,240000,1,0,0,0,0
1734,528.0,239500,0,0,0,0,1
1382,396.0,177500,1,0,0,0,0
1718,427.0,185000,1,0,0,0,0
1636,440.0,191000,1,0,0,0,0
1571,380.0,178000,1,0,0,0,0
1470,420.0,185000,1,0,0,0,0
1516,409.0,181316,1,0,0,0,0
1190,430.0,166000,1,0,0,0,0
1593,389.0,178000,1,0,0,0,0
1481,343.0,174000,1,0,0,0,0
1167,400.0,173000,1,0,0,0,0
1983,490.0,225000,1,0,0,0,0
1442,500.0,180500,1,0,0,0,0
1360,565.0,187500,0,0,0,0,1
2234,1166.0,501837,1,0,0,0,0
2046,834.0,372500,1,0,0,0,0
1530,430.0,260000,1,0,0,0,0
1934,567.0,185000,1,0,0,0,0
2353,484.0,260000,1,0,0,0,0
1586,435.0,181000,1,0,0,0,0
1411,544.0,82500,1,0,0,0,0
1602,529.0,215000,1,0,0,0,0
2050,529.0,154000,1,0,0,0,0
1671,484.0,200000,1,0,0,0,0
2673,441.0,249000,1,0,0,0,0
1472,588.0,187500,1,0,0,0,0
1707,479.0,184000,1,0,0,0,0
2524,542.0,278000,1,0,0,0,0
1601,478.0,157000,1,0,0,0,0
1370,479.0,152000,1,0,0,0,0
1868,484.0,197500,1,0,0,0,0
1884,581.0,240900,1,0,0,0,0
1935,552.0,263435,1,0,0,0,0
1874,588.0,220000,1,0,0,0,0
1811,565.0,235000,1,0,0,0,0
1621,478.0,213000,1,0,0,0,0
1116,528.0,167900,1,0,0,0,0
1193,506.0,158000,1,0,0,0,0
1350,478.0,165000,1,0,0,0,0
2119,583.0,158000,1,0,0,0,0
1792,0.0,136000,0,0,1,0,0
1002,902.0,148500,1,0,0,0,0
1026,440.0,156000,1,0,0,0,0
1180,477.0,128000,1,0,0,0,0
1050,336.0,143000,1,0,0,0,0
864,576.0,76500,1,0,0,0,0
864,660.0,120500,1,0,0,0,0
864,463.0,124500,1,0,0,0,0
864,576.0,97000,1,0,0,0,0
864,576.0,130000,1,0,0,0,0
987,264.0,111000,0,0,0,1,0
1365,440.0,125000,0,0,0,0,1
1302,280.0,112000,0,0,0,1,0
987,288.0,97000,0,0,0,1,0
987,264.0,118000,0,0,0,1,0
1302,264.0,119500,0,0,0,1,0
958,440.0,143750,0,0,0,0,1
1548,440.0,146000,0,0,0,0,1
1456,440.0,148500,0,0,0,1,0
1055,440.0,123000,0,0,0,1,0
1322,440.0,147000,0,0,0,0,1
1456,440.0,137900,0,0,0,1,0
1548,440.0,147000,0,0,0,0,1
1441,440.0,148500,0,0,0,1,0
1456,440.0,138000,0,0,0,0,1
836,345.0,128500,0,0,0,0,1
892,288.0,100000,1,0,0,0,0
1120,656.0,148800,1,0,0,0,0
1718,786.0,337500,1,0,0,0,0
2772,754.0,462000,1,0,0,0,0
3140,820.0,485000,1,0,0,0,0
2402,672.0,555000,1,0,0,0,0
1652,840.0,325000,1,0,0,0,0
1600,890.0,256300,1,0,0,0,0
2042,1390.0,253293,1,0,0,0,0
2690,864.0,398800,1,0,0,0,0
2184,836.0,335000,1,0,0,0,0
2020,896.0,404000,1,0,0,0,0
2020,900.0,402861,1,0,0,0,0
2296,842.0,451950,1,0,0,0,0
2674,762.0,610000,1,0,0,0,0
2822,1020.0,582933,1,0,0,0,0
1736,834.0,360000,1,0,0,0,0
1782,932.0,296000,1,0,0,0,0
2520,640.0,409900,1,0,0,0,0
1717,908.0,255500,1,0,0,0,0
1743,927.0,335000,1,0,0,0,0
1713,856.0,274900,1,0,0,0,0
1531,700.0,300000,1,0,0,0,0
1808,850.0,324000,1,0,0,0,0
2224,738.0,350000,1,0,0,0,0
1836,862.0,280000,1,0,0,0,0
1629,880.0,284000,1,0,0,0,0
1760,583.0,269500,1,0,0,0,0
1502,644.0,233170,1,0,0,0,0
2392,968.0,386250,1,0,0,0,0
2452,886.0,445000,1,0,0,0,0
2400,730.0,290000,1,0,0,0,0
1606,871.0,255900,1,0,0,0,0
1358,484.0,213000,0,0,0,0,1
1306,624.0,196000,0,0,0,1,0
1306,624.0,184500,0,0,0,1,0
1358,484.0,212500,0,0,0,0,1
1314,626.0,230000,0,0,0,1,0
2492,949.0,552000,1,0,0,0,0
2200,685.0,382500,1,0,0,0,0
1884,649.0,320000,0,0,0,0,1
1456,539.0,248500,0,0,0,0,1
1712,701.0,286500,1,0,0,0,0
1324,550.0,254000,0,0,0,0,1
1405,478.0,173000,0,0,0,0,1
1626,474.0,173000,0,0,0,1,0
1456,390.0,184000,1,0,0,0,0
1490,392.0,167800,1,0,0,0,0
1484,390.0,174000,1,0,0,0,0
1560,400.0,174000,1,0,0,0,0
1555,660.0,174000,0,0,0,0,1
1569,660.0,175900,0,0,0,0,1
1555,430.0,192500,0,0,0,0,1
1504,457.0,181000,0,0,0,0,1
1220,397.0,180000,0,0,0,0,1
1145,397.0,160200,0,0,0,0,1
1432,432.0,188500,1,0,0,0,0
2267,390.0,200000,1,0,0,0,0
1374,400.0,170000,1,0,0,0,0
1630,436.0,189500,1,0,0,0,0
1419,527.0,184100,1,0,0,0,0
1594,434.0,195500,1,0,0,0,0
1489,400.0,192000,1,0,0,0,0
1342,393.0,178000,1,0,0,0,0
1314,626.0,207500,0,0,0,1,0
2256,554.0,236000,1,0,0,0,0
2004,644.0,257500,1,0,0,0,0
2054,390.0,244000,1,0,0,0,0
1374,400.0,167000,1,0,0,0,0
1800,463.0,179000,1,0,0,0,0
1514,394.0,190000,1,0,0,0,0
1430,400.0,156000,1,0,0,0,0
2312,658.0,245000,1,0,0,0,0
1675,502.0,181000,1,0,0,0,0
2060,390.0,214000,1,0,0,0,0
1430,410.0,168000,1,0,0,0,0
2365,856.0,337000,1,0,0,0,0
2794,810.0,403000,1,0,0,0,0
2687,810.0,327000,1,0,0,0,0
2450,1069.0,340000,1,0,0,0,0
2612,676.0,336000,1,0,0,0,0
2344,889.0,265000,1,0,0,0,0
2063,815.0,315000,1,0,0,0,0
2646,656.0,260000,1,0,0,0,0
2061,647.0,260000,1,0,0,0,0
2232,623.0,263550,1,0,0,0,0
2448,711.0,402000,1,0,0,0,0
1850,467.0,248000,1,0,0,0,0
1468,898.0,244600,1,0,0,0,0
1696,972.0,275000,1,0,0,0,0
1658,726.0,257500,1,0,0,0,0
1578,840.0,287090,1,0,0,0,0
1702,844.0,275500,1,0,0,0,0
1432,492.0,245000,1,0,0,0,0
1971,689.0,253000,1,0,0,0,0
2490,795.0,468000,1,0,0,0,0
1852,644.0,252678,1,0,0,0,0
1590,676.0,210000,1,0,0,0,0
1218,676.0,208300,1,0,0,0,0
1436,529.0,225000,1,0,0,0,0
1314,552.0,229456,1,0,0,0,0
1402,625.0,229800,1,0,0,0,0
1530,984.0,250000,1,0,0,0,0
1766,478.0,370878,1,0,0,0,0
1448,692.0,238500,1,0,0,0,0
2007,812.0,310000,1,0,0,0,0
1795,782.0,270000,1,0,0,0,0
1953,1043.0,252000,1,0,0,0,0
1550,438.0,241000,1,0,0,0,0
1836,517.0,264500,1,0,0,0,0
1662,711.0,291000,1,0,0,0,0
2094,615.0,263000,1,0,0,0,0
1221,400.0,185000,1,0,0,0,0
1553,588.0,234500,1,0,0,0,0
1653,628.0,209000,1,0,0,0,0
1218,576.0,159000,1,0,0,0,0
1141,484.0,152000,1,0,0,0,0
1158,0.0,143500,1,0,0,0,0
1812,478.0,193000,1,0,0,0,0
1512,845.0,203000,1,0,0,0,0
1200,555.0,184900,1,0,0,0,0
1114,576.0,159000,1,0,0,0,0
1114,0.0,142000,1,0,0,0,0
1114,576.0,153000,1,0,0,0,0
1450,788.0,224243,1,0,0,0,0
2122,559.0,220000,1,0,0,0,0
1844,620.0,257000,1,0,0,0,0
1434,527.0,189000,1,0,0,0,0
1730,528.0,171500,1,0,0,0,0
1217,288.0,120000,0,0,0,0,1
1332,542.0,145000,0,0,0,0,1
1540,495.0,184000,1,0,0,0,0
1400,465.0,162000,1,0,0,0,0
1882,612.0,160000,0,0,1,0,0
841,294.0,82000,1,0,0,0,0
784,360.0,76000,1,0,0,0,0
980,400.0,110000,1,0,0,0,0
980,484.0,135000,1,0,0,0,0
864,732.0,141000,1,0,0,0,0
864,440.0,122000,1,0,0,0,0
1020,288.0,124100,1,0,0,0,0
912,300.0,129000,1,0,0,0,0
1144,264.0,131400,1,0,0,0,0
864,360.0,62383,1,0,0,0,0
912,252.0,123000,1,0,0,0,0
2014,864.0,275000,1,0,0,0,0
1755,524.0,235000,1,0,0,0,0
3005,704.0,280750,0,0,0,1,0
1224,528.0,164500,0,0,0,0,1
1224,528.0,173733,0,0,0,0,1
1726,561.0,222000,0,0,0,0,1
1256,641.0,195000,0,0,0,0,1
1471,440.0,172500,0,0,0,0,1
1512,440.0,180000,0,0,0,0,1
1452,506.0,156000,0,0,0,0,1
1739,480.0,172500,0,0,0,1,0
1694,642.0,318750,1,0,0,0,0
1226,484.0,211500,0,0,0,0,1
1740,540.0,241600,1,0,0,0,0
2499,527.0,180500,1,0,0,0,0
1620,490.0,150000,1,0,0,0,0
1556,441.0,154000,1,0,0,0,0
1442,615.0,185000,1,0,0,0,0
1489,462.0,185750,1,0,0,0,0
2090,484.0,200000,1,0,0,0,0
